# Ref https://es.wikipedia.org/wiki/Anexo:Salario_m%C3%ADnimo_en_Chile
Año;Fecha de Incremento;Salario Mensual;Promedio Diario;Variación;Equivalencia en US$;Normativa
1987;1 de septiembre;$ 11 335;$ 377;;106;Ley 18.647
1988;-;$ 11 335;$ 377;0%;106;Ley 18.647
1989;1 de febrero;$ 15 488;$ 516;36,6%;119;Ley 18.774
1989;1 de junio;$ 18 000;$ 600;16,21%;132;Ley 18.806
1990;1 de junio;$ 26000;$ 866;44,4%;153;Ley 18.981
1991;1 de junio;$ 33000;$ 1.100;26,9;157;Ley 19.060
1992;1 de junio;$ 38600;$ 1.286;16,9%;158;Ley 19.142
1993;1 de junio;$ 46000;$ 1.533;19,1%;167;Ley 19.222
1994;1 de junio;$ 52150;$ 1.738;13,3%;168;Ley 19.307
1995;1 de junio;$ 58900;$ 1.963;12,9%;176;Ley 19.392
1996;1 de junio;$ 65500;$ 2.183;11,2%;180;Ley 19.457
1997;1 de junio;$ 71400;$ 2.380;9%;187;Ley 19.502
1998;1 de junio;$ 80500;$ 2.683;12,7%;200;Ley 19.564
1999;1 de junio;$ 90500;$ 3.016;12,4%;216;Ley 19.564
2000;1 de junio;$ 100000;$ 3.333;10,4%;230;Ley 19.564
2001;1 de junio;$ 105500;$ 3.516;5,5%;234;Ley 19.729
2002;1 de junio;$ 111200;$ 3.706;5,4%;242;Ley 19.811
2003;1 de julio;$ 115648;$ 3.854;4%;243;Ley 19.883
2004;1 de julio;$ 120000;$ 4.000;3,7%;249;Ley 19.956
2005;1 de julio;$ 127500;$ 4.250;6,2%;258;Ley 20.039
2006;1 de julio;$ 135000;$ 4.500;5,8%;263;Ley 20.039
2007;1 de julio;$ 144000;$ 4.800;6,6%;272;Ley 20.204
2008;1 de julio;$ 159000;$ 5.300;10,4%;274;Ley 20.279
2009;1 de julio;$ 165000;$ 5.500;3,7%;279;Ley 20.359
2010;1 de julio;$ 172000;$ 5.733;4,2%;288;Ley 20.449
2011;1 de julio;$ 182000;$ 6.066;5,8%;294;Ley 20.524
2012;1 de julio;$ 193000;$ 6.433;6%;304;Ley 20.614
2013;1 de agosto;$ 210000;$ 7.000;8,8%;324;Ley 20.689
2014;1 de julio;$ 225000;$ 7.500;7,1%;332;Ley 20.763
2015;1 de julio;$ 241000;$ 8.033;7,1%;341;Ley 20.763
2016;1 de enero;$ 250000;$ 8.333;3,7%;346;Ley 20.763
2016;1 de julio;$ 257500;$ 8.583;3%;391;Ley 20.935
2017;1 de enero;$ 264000;$ 8.800;2,5%;;Ley 20.935
2017;1 de julio;$ 270000;$ 9.000;2,2%;;Ley 20.935
2018;1 de enero;$ 276000;$ 9.200;2,2%;;Ley 20.935
